# File Name: RGD_Gene_List.tsv
# 
# File Type: tab-separated values
# 
# More notes: TBA (to be added, in a future version)
# 
# Column Headers:
# MOD ID	Symbol	Synonyms	Name	Notes
1304914	Adgra3	Gpr125|LOC305408		
1305608	Adgrb1	Bai1|LOC362931		
1309431	Adgrb2	Bai2|LOC313058		
1309703	Adgrb3	Bai3|LOC301309		
1594795	Adgrd1	Gpr133|LOC689257		
1359214	Adgre1	Emr1		
1359641	Adgre4	Adgre4p|Emr4|Emr4p		
1305595	Adgre5	Cd97|LOC361383		
1310285	Adgrf1	Gpr110|LOC301266		
1306718	Adgrf2	Gpr111|Gpr115|LOC301269		
1305868	Adgrf3	Gpr113|LOC298857		
1565216	Adgrf4	Gpr115|LOC501106|RGD1565216		
621679	Adgrf5	Gpr116|Gprhep|Ig-Hepta		
628617	Adgrg1	Gpr56		
628618	Adgrg2	Gpr64|He6|Re6		
1305674	Adgrg3	Gpr97|LOC291854		
1564057	Adgrg4	Gpr112|Gpr112l|LOC302860|RGD1564057		
1305559	Adgrg5	Gpr114|LOC307645		
1308551	Adgrg6	Gpr126|LOC308376|LOC681235		
1307217	Adgrg7	Gpr128|LOC304014		
620768	Adgrl1	CIRL-1|CL1BA|Lphn1		
620835	Adgrl2	Cirl-2|Cirl2|Cl2ac|Lphn2		
620836	Adgrl3	CIRL-3|Cirl3|Lec3|Lphn3		
621136	Adgrl4	Eltd1|Etl		
1562101	Adgrv1	Gpr98|LOC294614|LOC362068|LOC685383|RGD1562101		
2044	Adh1	Adh|Adh1a|Adh1c		
71028	Adh4	ADH-1|ADH2|Ac1002		
2292706	Adh5	ADH-B2|FALDH|FDH|GSH-FDH		
1306313	Adh6	LOC310903		
1310029	Adh6a	LOC295498		
621638	Adh7			
1308863	Adhfe1	HOT|LOC362474		
727828	Adi1	ARD|Alp1|Fe-ARD|LOC298934|MGC108527|MTCBP-1|Ni-ARD		
2320953	Adig	LOC100361007		
628748	Adipoq	Acdc|Acrp30		
1303151	Adipor1	LOC289036		
1307891	Adipor2	LOC312670		
2046	Adk	AK		
2047	Adm	Ap|H39316		
1302971	Adm2	Imd		
71030	Adnp			
