# input[ftp://ftp.sanger.ac.uk/pub/consortia/wormbase/STAFF/mh6/nightly_geneace/clones2.ace.gz] script ingest_wormbase_clone2.groovy
#Thu Mar 15 21:28:18 PDT 2018
# ID|SYMBOL|NAME|SYNONYMS|NOTES
2L52	2L52		2L52|Caenorhabditis elegans
MKL15	MKL15		Caenorhabditis elegans
MKL16	MKL16		Caenorhabditis elegans
MKL17	MKL17		Caenorhabditis elegans
MKL18	MKL18		Caenorhabditis elegans
MKL19	MKL19		Caenorhabditis elegans
MKL20	MKL20		Caenorhabditis elegans
MKL21	MKL21		Caenorhabditis elegans
MKL22	MKL22		Caenorhabditis elegans
MKL23	MKL23		Caenorhabditis elegans
MKL24	MKL24		Caenorhabditis elegans
MKL25	MKL25		Caenorhabditis elegans
MKL27	MKL27		Caenorhabditis elegans
MKL28	MKL28		Caenorhabditis elegans
MKL29	MKL29		Caenorhabditis elegans
MKL30	MKL30		Caenorhabditis elegans
MKL32	MKL32		Caenorhabditis elegans
MKL33	MKL33		Caenorhabditis elegans
MKL34	MKL34		Caenorhabditis elegans
MKL36	MKL36		Caenorhabditis elegans
MKL37	MKL37		Caenorhabditis elegans
MKL39	MKL39		Caenorhabditis elegans
MKL41	MKL41		Caenorhabditis elegans
MKL46	MKL46		Caenorhabditis elegans
MKL49	MKL49		Caenorhabditis elegans
MKL50	MKL50		Caenorhabditis elegans
MKL54	MKL54		Caenorhabditis elegans
MKL57	MKL57		Caenorhabditis elegans
MKL60	MKL60		Caenorhabditis elegans
MKL63	MKL63		Caenorhabditis elegans
MKL68	MKL68		Caenorhabditis elegans
MKL78	MKL78		Caenorhabditis elegans
MKL90	MKL90		Caenorhabditis elegans
MKL94	MKL94		Caenorhabditis elegans
MKL98	MKL98		Caenorhabditis elegans
MLC3A	MLC3A		Caenorhabditis elegans
MLC4C	MLC4C		Caenorhabditis elegans
MS 58-3	MS 58-3		Caenorhabditis elegans
MS 66	MS 66		Caenorhabditis elegans
MS-1	MS-1		Caenorhabditis elegans
MS-1A	MS-1A		Caenorhabditis elegans
MTCE	MTCE		MTCE|Caenorhabditis elegans
N14-2970	N14-2970		GH333343|Caenorhabditis elegans
N103!	N103!		Caenorhabditis elegans
NA2	NA2		Caenorhabditis elegans
NA6	NA6		Caenorhabditis elegans
NB4	NB4		Caenorhabditis elegans
NC4	NC4		Caenorhabditis elegans
NC6	NC6		Caenorhabditis elegans
NC11	NC11		Caenorhabditis elegans
NE4	NE4		Caenorhabditis elegans
NE12	NE12		Caenorhabditis elegans
NG6	NG6		Caenorhabditis elegans
nob-1RDA	nob-1RDA		Caenorhabditis elegans
PAPPHB4	PAPPHB4		GH332816|Caenorhabditis elegans
pAR2	pAR2		PAR2|Caenorhabditis elegans
PAR3	PAR3		PAR3|Caenorhabditis elegans
PC101	PC101		Caenorhabditis elegans
PC203	PC203		Caenorhabditis elegans
PC402	PC402		Caenorhabditis elegans
PC1001	PC1001		Caenorhabditis elegans
pCes2.70	pCes2.70		pCC1FOS|Caenorhabditis elegans
pCes263	pCes263		Caenorhabditis elegans
pCes814	pCes814		Caenorhabditis elegans
pCes1940	pCes1940		Caenorhabditis elegans
pes21	pes21		PDB1|Caenorhabditis elegans
PGBC6S	PGBC6S		Caenorhabditis elegans
PGBC8-10	PGBC8-10		Caenorhabditis elegans
PGBC9B'	PGBC9B'		Caenorhabditis elegans
PGBC9D'	PGBC9D'		Caenorhabditis elegans
PGBCE2	PGBCE2		Caenorhabditis elegans
R3-2967	R3-2967		GH333329|Caenorhabditis elegans
R13G9!	R13G9!		R13F6|Caenorhabditis elegans
RB9	RB9		R193|Caenorhabditis elegans
RD10	RD10		Caenorhabditis elegans
RE6A	RE6A		Caenorhabditis elegans
RE13B-	RE13B-		Caenorhabditis elegans
RH9	RH9		Caenorhabditis elegans
RRC6	RRC6		Caenorhabditis elegans
RRD11	RRD11		Caenorhabditis elegans
RRN1CLUS	RRN1CLUS		Caenorhabditis elegans
RRRC9	RRRC9		Caenorhabditis elegans
RRS1CLUS	RRS1CLUS		Caenorhabditis elegans
RW7	RW7		RST5_520212|Caenorhabditis elegans
RW2070-2	RW2070-2		Caenorhabditis elegans
RW2070-4	RW2070-4		Caenorhabditis elegans
SB2	SB2		S88446|Caenorhabditis elegans
SB11	SB11		Caenorhabditis elegans
SB13	SB13		Caenorhabditis elegans
SB15	SB15		Caenorhabditis elegans
SC2	SC2		Caenorhabditis elegans
SC6	SC6		Caenorhabditis elegans
SC10	SC10		Caenorhabditis elegans
SD6	SD6		Caenorhabditis elegans
SD7	SD7		Caenorhabditis elegans
SE5	SE5		Caenorhabditis elegans
SE11	SE11		Caenorhabditis elegans
SEQ8	SEQ8		Caenorhabditis elegans
SG23\/3	SG23\/3		Caenorhabditis elegans
SG25\/3	SG25\/3		Caenorhabditis elegans
SG25\/22	SG25\/22		Caenorhabditis elegans
SG25\/23	SG25\/23		Caenorhabditis elegans
SG25\/24	SG25\/24		Caenorhabditis elegans
SG25\/26	SG25\/26		Caenorhabditis elegans
SG25\/29	SG25\/29		Caenorhabditis elegans
SG25\/30	SG25\/30		Caenorhabditis elegans
SG25\/33	SG25\/33		Caenorhabditis elegans
SG25\/34	SG25\/34		Caenorhabditis elegans
SG25\/35	SG25\/35		Caenorhabditis elegans
SG25\/36	SG25\/36		Caenorhabditis elegans
SG25\/36!	SG25\/36!		Caenorhabditis elegans
SG25\/37	SG25\/37		Caenorhabditis elegans
SG25\/39	SG25\/39		Caenorhabditis elegans
SG25\/40	SG25\/40		Caenorhabditis elegans
SG25\/44	SG25\/44		Caenorhabditis elegans
SG25\/46	SG25\/46		Caenorhabditis elegans
SG25\/49	SG25\/49		Caenorhabditis elegans
SG25\/51	SG25\/51		Caenorhabditis elegans
SG25\/52	SG25\/52		Caenorhabditis elegans
SG25\/53	SG25\/53		Caenorhabditis elegans
SG25\/54	SG25\/54		Caenorhabditis elegans
SG25\/55	SG25\/55		Caenorhabditis elegans
SG25\/56	SG25\/56		Caenorhabditis elegans
SSA2	SSA2		Caenorhabditis elegans
SSSD1	SSSD1		SSSD1|Caenorhabditis elegans
SSSD8	SSSD8		Caenorhabditis elegans
Tel2L52	Tel2L52		T02375|Caenorhabditis elegans
Tel4R79	Tel4R79		Caenorhabditis elegans
Tel6R55	Tel6R55		Caenorhabditis elegans
TY4	TY4		Caenorhabditis elegans
TY8	TY8		Caenorhabditis elegans
U28	U28		GH332649|Caenorhabditis elegans
U30	U30		Caenorhabditis elegans
U32	U32		Caenorhabditis elegans
U45	U45		Caenorhabditis elegans
U51	U51		Caenorhabditis elegans
U53	U53		Caenorhabditis elegans
U58	U58		Caenorhabditis elegans
UA5	UA5		U96695|Caenorhabditis elegans
UA9	UA9		Caenorhabditis elegans
V3SSE	V3SSE		GH332755|Caenorhabditis elegans
V41	V41		GH332539|Caenorhabditis elegans
V42	V42		Caenorhabditis elegans
V43	V43		Caenorhabditis elegans
V44	V44		Caenorhabditis elegans
V45	V45		Caenorhabditis elegans
V46	V46		Caenorhabditis elegans
V47	V47		Caenorhabditis elegans
V48	V48		Caenorhabditis elegans
V49	V49		Caenorhabditis elegans
V50	V50		Caenorhabditis elegans
V51	V51		Caenorhabditis elegans
V52	V52		Caenorhabditis elegans
V53	V53		Caenorhabditis elegans
V54	V54		Caenorhabditis elegans
V55	V55		Caenorhabditis elegans
V57	V57		Caenorhabditis elegans
V58	V58		Caenorhabditis elegans
V60	V60		Caenorhabditis elegans
V61	V61		Caenorhabditis elegans
V62	V62		Caenorhabditis elegans
V63	V63		Caenorhabditis elegans
V64	V64		Caenorhabditis elegans
V65	V65		Caenorhabditis elegans
V66	V66		Caenorhabditis elegans
V67	V67		Caenorhabditis elegans
V68	V68		Caenorhabditis elegans
V69	V69		Caenorhabditis elegans
V70	V70		Caenorhabditis elegans
V71	V71		Caenorhabditis elegans
V72	V72		Caenorhabditis elegans
